#,Name,Location,Type,TypeExt,Index,Description
0.01,patient(+),0;1,POINTER,,B,This is the name of the patient.
391,repeat cardiac surg procedure,208;7,BOOLEAN,,,CICSP Definition (2004): Indicate the CPB status if the patient underwent a repeat operation on the heart after the patient had left the operating room from the initial operation and within current hospitalization or within 30 days of the initial operation.
392,other occurrences (icd9),205;36,POINTER,,,NSQIP Definition (2004): Enter any other surgical occurrences which you feel to be significant and that are not covered by the predefined occurrence categories. Enter the ICD-9-CM code for this entry.
393,re-transmission,RA;3,NUMERIC,,,This determines whether the assessment will be re-transmitted. It will automatically be set to '1' when a transmitted assessment is updated to an INCOMPLETE status to edit and re-transmit.
394,history of mi,200;31,SET OF CODES,,,NSQIP Definition (2004): The history of a non-Q wave or a Q wave infarct in the six months prior to surgery as diagnosed in the patient's medical record.
395,angina one month prior,200;34,SET OF CODES,,,"NSQIP Definition (2004): Pain or discomfort between the diaphragm and the mandible resulting from myocardial ischemia. Typically angina is a dull, diffuse (fist-sized or larger) substernal chest discomfort precipitated by exertion or emotion and relieved by rest or nitroglycerine. Radiation to the arms and shoulders often occurs, and occasionally to the neck, jaw (mandible, not maxilla), or interscapular region. Documentation in the chart by the physician should state 'angina' or 'anginal equivalent'. For patients on anti-anginal medications, enter 'yes' only if the patient has had angina at any time within 30 days prior to surgery."
396,chf within one month,200;35,SET OF CODES,,,"NSQIP Definition (2004): Congestive Heart Failure is the inability of the heart to pump a sufficient quantity of blood to meet the metabolic needs of the body or can do so only at increased ventricular filling pressure. Only newly diagnosed CHF within the previous 30 days or a diagnosis of chronic CHF with new signs or symptoms in the 30 days prior to surgery fulfills this definition. Common manifestations are: - Abnormal limitation in exercise tolerance due to dyspnea or fatigue - Orthopnea (dyspnea on lying supine) - Paroxysmal nocturnal dyspnea (PND-awakening from sleep with dyspnea) - Increased jugular venous pressure - Pulmonary rales on physical examination - Cardiomegaly - Pulmonary vascular engorgement Should be noted in the medical record as CHF, congestive heart failure, or pulmonary edema."
397,severe head trauma (y/n),200;20,SET OF CODES,,,"This determines whether the patient has sustained open or closed trauma to the head from external force, violence, or accident with resulting impairment in neurological function as manifested by motor, sensory, or cognitive impairments."
398,quadriplegia (y/n),200;22,SET OF CODES,,,NSQIP Definition (2004): Patient has sustained acute or chronic neuromuscular injury resulting in total or partial paralysis or paresis (weakness) of all four extremities.
399,paraplegia (y/n),200;23,SET OF CODES,,,NSQIP Definition (2004): Patient has sustained acute or chronic neuromuscular injury resulting in total or partial paralysis or paresis (weakness) of the lower extremities.
400,hemiplegia/hemiparesis (y/n),200;24,SET OF CODES,,,NSQIP Definition (2004): Patient has sustained acute or chronic neuromuscular injury resulting in total or partial paralysis or paresis (weakness) of one side of the body. Enter YES if the patient has hemiplegia/hemiparesis (that has not recovered or been rehabilitated) upon arrival to the OR. Enter YES if there is hemiplegia or hemiparesis associated with a CVA/Stroke also.
401,tumor involving cns (y/n),200;29,SET OF CODES,,,"NSQIP Definition (2004): Space occupying tumor of the brain and spinal cord which may be benign (e.g., meningiomas, ependymoma, oligodendroglioma) or primary (e.g., astrocytoma, glioma, glioblastoma multiforme) or secondary malignancies (e.g., metastatic lung, breast, malignant melanoma). Other tumors that may involve the CNS include lymphomas in the brain and sarcomas. Answer ""YES"" even if the tumor was not treated."
402,general (y/n),200;1,BOOLEAN,,,"This determines whether the patient has any general medical problems, such as diabetes, dyspnea, or alcohol related illnesses."
403,wound occurrences,205;5,SET OF CODES,,,This determines whether the patient had any postoperative wound occurrences.
404,wound disruption,205;8,SET OF CODES,,,"NSQIP Definition (2004): Separation of the layers of a surgical wound, which may be partial or complete, with disruption of the fascia."
405,low serum sodium,203;2,FREE TEXT,,,"This is the lowest postoperative serum sodium result recorded within 30 days postoperatively. Data input must be 1 to 5 numeric characters in length which may include a prefix of a less than or greater than sign ""<"" or "">"". Entering ""NS"" for ""No Study"" is also allowed."
406,low potassium,203;4,FREE TEXT,,,"This is the lowest recorded postoperative potassium result. Data input must be 1 to 3 numeric characters in length which may include a prefix of a less than or greater than sign ""<"" or "">"". Entering ""NS"" for ""No Study"" is also allowed."
407,"low sodium, date",204;2,DATE-TIME,,,This is the date that the lowest serum sodium test result was recorded.
408,"low potassium, date",204;4,DATE-TIME,,,This is the date that the lowest potassium test result was recorded.
409,renal insufficiency,205;16,SET OF CODES,,,"NSQIP Definition (2004): The reduced capacity of the kidney to perform its function as evidenced by a rise in creatinine of >2 mg/dl from preoperative value, but with no requirement for dialysis."
410,coma > 24 hours postop,205;22,SET OF CODES,,,"NSQIP Definition (2004): Patient is unconscious, postures to painful stimuli, or is unresponsive to all stimuli (exclude transient disorientation or psychosis) for greater than 24 hours during postoperative hospitalization. Do not include drug-induced coma (e.g. Propofol drips, etc.) CICSP Definition (2004): Indicate if postoperatively either within the current hospitalization or within 30 days of surgery there was a significantly decreased level of consciousness (exclude transient disorientation or psychosis) for greater than or equal to 24 hours as evidenced by lack of response to deep, painful stimuli."
411,cardiac arrest req cpr,205;26,SET OF CODES,,,"CICSP Definition (2004): Indicate if there was any cardiac arrest requiring external or open cardiopulmonary resuscitation (CPR) occurring in the operating room, ICU, ward, or out-of-hospital after the chest had been completely closed and within 30 days of surgery. (YES/NO) If patient had cardiac arrest requiring CPR, indicate whether the arrest occurred intraoperatively or postoperatively. Indicate the one appropriate response: - intraoperatively: occurring while patient was in the operating room - postoperatively: occurring after patient left the operating room NSQIP Definition (2004): The absence of cardiac rhythm or presence of chaotic cardiac rhythm that results in loss of consciousness requiring the initiation of any component of basic and/or advanced cardiac life support."
412,unplanned intubation (y/n),205;11,SET OF CODES,,,"NSQIP Definition (2004): Patient required placement of an endotracheal tube and mechanical or assisted ventilation because of the onset of respiratory or cardiac failure manifested by severe respiratory distress, hypoxia, hypercarbia, or respiratory acidosis. In patients who were intubated for their surgery, unplanned intubation occurs after they have been extubated after surgery. In patients who were not intubated during surgery, intubation at any time after their surgery is considered unplanned."
413,transfer status,208;11,SET OF CODES,,,"NSQIP Definition (2004): Was the patient transferred directly from another healthcare facility and admitted to this hospital? Please select from the following choices. If the patient was admitted from home, select #1. If the patient was transferred from another facility, please select from choices #2-6. (1) Not transferred from a health care facility; admitted directly from home (2) Non-VAMC Acute Care Hospital (3) VAMC Acute Care Hospital (4) Non-VA Nursing Home/Chronic Care Facility/Spinal Cord Injury Unit/Intermediate Care Unit (5) VA Nursing Home/Chronic Care Facility/Spinal Cord Injury Unit/Intermediate Care Unit (6) Other (for example, Domiciliary) * If a patient arrives from another hospital's emergency department, report as #1. If you cannot determine what kind of facility, enter ""OTHER""."
414,cardiac surgical priority,208;12,SET OF CODES,,,"If this is a cardiac procedure, this is the surgical priority reflecting the patient's cardiovascular condition at the time of transport to the operating room: 1. Elective - Patient placed on elective schedule with surgery usually performed > 72 hours following catheterization. 2. Urgent - Clinical condition mandates prompt surgery usually within 12 to 72 hours of catheterization (patients clinically stable on a circulatory support system should be included in this category). 3. Emergent (ongoing ischemia) - Clinical condition mandates immediate surgery usually on day of catheterization because of ischemia despite medical therapy, such as intravenous nitroglycerine. Ischemia should be manifested as chest pain and/or ST-segment depression. 4. Emergent (hemodynamic compromise) - Persistent hypotension (arterial systolic pressure < 80 mm Hg) and/or low cardiac output (cardiac index < 2.0 L/min/MxM) despite iontropic and/or mechanical circulatory support mandates immediate surgery within hours of the cardiac catheterization. 5. Emergent (arrest with CPR) - Patient is taken to the operating room in full cardiac arrest with the circulation supported by cardiopulmonary resuscitation (excludes patients being adequately perfused by a cardiopulmonary support system)."
414.1,"surgical priority, date",208;13,DATE-TIME,,,This is the date and time that the cardiac surgical priority information was collected.
415,mitral regurgitation,206;9,SET OF CODES,,,"CICSP Definition (2004): Indicate the severity of any mitral regurgitation documented for the patient. This question should be answered using either the left ventricular angiogram or the cardiac ultrasound examination. Adjectives used to describe the severity of the mitral regurgitation on the cardiac cath report should be converted to a four-point scale: 1+ = mild, 2 or 3+ = moderate, and 4+ = severe. Diagnosis by angiogram: ======================= The following definitions should be used to assess the presence/severity of mitral regurgitation based on the interpretation of the contrast left ventricular angiogram: None/Trivial - There is no visible systolic regurgitation across the mitral valve. Trace or trivial notations of mitral regurgitation should be listed as none. Mild - Definite contrast can be seen in the left atrium following left ventricular injection, but the left atrium never fills to the same opacity as the left ventricle. Moderate - The left atrium fills to the same opacity as the left ventricle over two or more systoles. Severe - The left atrium fills to the same opacity as the left ventricle over a single systole. NS - If unable to make an assessment of the patient's left ventricular contraction grade or no study was performed, entering ""NS"" for ""No Study/Unknown"" is also allowed. Diagnosis by cardiac ultrasound: ================================ The following definitions are commonly used to assess the presence/severity of mitral regurgitation based on the interpretation of the cardiac ultrasound examination: None/Trivial - No regurgitant jet is seen on the Doppler study. Trace or trivial notations of mitral regurgitation should be listed as none. Mild - The area of the regurgitant jet is 0 - 4 cm2. Moderate - The area of the regurgitant jet is >4 - 8 cm2. Severe - The area of the regurgitant jet is greater than 8 cm2 or greater than one third of the total left atrial area. NS - If no study was performed, entering ""NS"" for ""No Study/Unknown"" is also allowed."
416,number with other conduit,207;20,NUMERIC,,,"CICSP Definition (2004): This is the number of coronary artery bypass graft (CABG) anastomoses to native coronary arteries with other conduit(s) regardless of whether other procedures were performed. Do not leave this information blank. If no coronary artery bypass grafts with other conduits were performed, enter '0'."
417,race,208;10,SET OF CODES,,,This is the race of the patient. This is a standard set of codes and should not be edited.
418,hospital admission date,208;14,FREE TEXT,,,"NSQIP Definition (2004): The date and time of admission to this VAMC as found in the PIMS package. If the patient was admitted directly to surgery and then admitted to the hospital, use the date of surgery as the date of admission. Enter NA if this date is not applicable. CICSP Definition (2004) Indicate the date and time of the hospital admission associated with this surgical case. Entering NA for ""NOT APPLICABLE"" is not allowed."
419,hospital discharge date,208;15,FREE TEXT,,,"NSQIP Definition (2004): The date and time of discharge as pulled from the PIMS package. Enter NA if this date is not applicable. CICSP Definition (2004) Indicate the date of the hospital discharge associated with this surgical case. Patients transferred to a referring facility should be indicated as discharged from current admission. Patients transferred to the psychiatric unit or any chronic care facility located at the VA facility (e.g., a nursing home) should be indicated as discharged from current admission at the date and time of the transfer to this different facility. (Do not indicate the date of data input, unless the patient was actually discharged on this same date.) Patients who remain as inpatients for reasons other than for post-open heart procedures should continue to be followed until discharged (including the rehabilitation service) even if the cardiothoracic team discharges the patient from their service or would discharge the patient home. If the patient remains in the hospital and/or has subsequent surgeries, indicate such in the ""resource data comments"" section."
420,admission/transfer date,208;16,FREE TEXT,,,"NSQIP Definition (2004): If the patient was not initially admitted to the surgical service, the date and time of transfer to surgical service for this surgical episode will be entered from the PIMS package. Enter 'NA' if this date is not applicable, e.g. outpatient not admitted or observed."
421,discharge/transfer date,208;17,FREE TEXT,,,"NSQIP Definition (2004): The date and time of the patient's discharge or transfer from the surgical or medical service to a chronic care setting. i.e., spinal cord injury unit, psychiatric facility or psychiatric unit, nursing home care unit or facility, or intermediate medicine. Acute care beds must be established locally with the assistance of your station IRM service."
430,cardiac risk preop comments,206.1;1,FREE TEXT,,,List any preoperative patient risk factors not recorded previously that may contribute to this patient's risk of operative mortality. The maximum length of this field is 130 characters.
431,cardiac resource data comments,206.2;1,FREE TEXT,,,Record any comments pertaining to patient or the surgery. The maximum length of this field is 130 characters.
439,batista procedure used (y/n),207;23,BOOLEAN,,,"Was the Batista procedure used, Yes or No?"
440,cardiac catheterization date,207;21,DATE-TIME,,,Record the appropriate date of the most recent cardiac catheterization prior to surgery. Enter NS if unknown or not applicable.
441,minimally invasive proc (y/n),207;22,BOOLEAN,,,"Was a minimally invasive procedure technique used, Yes or No?"
442,employment status preoperative,208;18,SET OF CODES,,,Employment status preoperatively is to be defined in the broad sense of regularly performed work activity with remuneration.
450,total ischemic time,206;36,NUMERIC,,,Record in minutes the duration of time the ascending aorta is totally cross-clamped. Do not include the duration of partial aorta cross-clamp used for sewing the proximal anastomoses.
451,total cpb time,206;37,NUMERIC,,,Record in minutes the total cardiopulmonary bypass time. This includes the total duration of full and partial cardiopulmonary bypass from all episodes of cardiopulmonary bypass. This information can generally be found on the perfusionist record and/or the anesthesia record.
452,observation admission date,208.1;1,FREE TEXT,,,"NSQIP Definition (2004): An observation patient is one who presents with a medical condition with a significant degree of instability or disability, and who needs to be monitored, evaluated and assessed for either admission to inpatient status or assignment to care in another setting. An observation patient can occupy a special bed set aside for this purpose or may occupy a bed in any unit of a hospital, i.e., urgent care, medical unit. These types of patients should be evaluated against standard inpatient criteria. These beds are not designed to be a holding area for Emergency Rooms. The length-of-stay in observation beds will not exceed 23 hours. Following surgery, if the patient was admitted for observation, this is the date and time of admission for observation. If this information is not applicable, enter NA."
453,observation discharge date,208.1;2,FREE TEXT,,,"NSQIP Definition (2004): If the patient was admitted for observation following surgery, this is the date and time of discharge from observation. If this information in not applicable, enter NA."
454,observation treating specialty,208.1;3,POINTER,,,"NSQIP Definition (2004): If the patient was admitted for observation following surgery, this is the observation treating specialty to which the patient was admitted. If this information is not applicable, enter NA."
455,highest serum troponin i,203;13,FREE TEXT,,,"This is the result of the highest postoperative serum cardiac troponin I test. Data input must be 1 to 5 numeric characters in length which may include a prefix of a less than or greater than sign ""<"" or "">"". Entering ""NS"" for ""No Study"" is also allowed."
455.1,"high serum troponin i, date",204;13,DATE-TIME,,,This is the date that the highest postop serum troponin I was performed.
456,highest serum troponin t,203;14,FREE TEXT,,,"This is the result of the highest postoperative serum cardiac troponin T test. Data input must be 1 to 5 numeric characters in length which may include a prefix of a less than or greater than sign ""<"" or "">"". Entering ""NS"" for ""No Study"" is also allowed."
456.1,"high serum troponin t, date",204;14,DATE-TIME,,,This is the date that the highest postop serum troponin T was performed.
457,hdl (cardiac),201;21,FREE TEXT,,,"CICSP Definition (2004): Indicate the HDL result (mg/dl) preoperatively evaluated closest to surgery but not greater than 90 days before surgery. Entering ""NS"" for ""No Study"" is allowed."
457.1,"hdl, date",202;21,DATE-TIME,,,"CICSP Definition (2004): Indicate the date that the preoperative HDL value was assessed. Enter ""NS"" for No Study if the HDL test was not performed or was performed more than 90 days before surgery."
458,serum triglyceride (cardiac),201;22,FREE TEXT,,,"CICSP Definition (2004): Indicate the Serum Triglyceride result (mg/dl) preoperatively evaluated closest to surgery but not greater than 90 days before surgery. Entering ""NS"" for ""No Study"" is allowed."
458.1,"serum triglyceride, date (car)",202;22,FREE TEXT,,,"CICSP Definition (2004): Indicate the date that the preoperative Serum Triglyceride value was assessed. Enter ""NS"" for No Study if the Serum Triglyceride test was not performed or was performed more than 90 days before surgery."
459,serum potassium (cardiac),201;23,FREE TEXT,,,"CICSP Definition (2004): Indicate the serum potassium result (mg/L) preoperatively evaluated closest to surgery but not greater than 90 days before surgery. Entering ""NS"" for ""No Study"" is allowed."
459.1,"serum potassium, date(cardiac)",202;23,FREE TEXT,,,"CICSP Definition (2004): Indicate the date that the preoperative Serum Potassium value was assessed. Enter ""NS"" for No Study if the Serum Potassium test was not performed or was performed more than 90 days before surgery."
460,serum bilirubin (cardiac),201;24,FREE TEXT,,,"CICSP Definition (2004): Indicate the serum bilirubin result (mg/dl) preoperatively evaluated closest to surgery but not greater than 90 days before surgery. Entering ""NS"" for ""No Study"" is allowed."
460.1,"serum bilirubin, date (card)",202;24,FREE TEXT,,,"CICSP Definition (2004): Indicate the date that the preoperative Serum Bilirubin value was assessed. Enter ""NS"" for No Study if the Serum Bilirubin test was not performed or was performed more than 90 days before surgery."
461,ldl (cardiac),201;25,FREE TEXT,,,"CICSP Definition (2004): Indicate the LDL result (mg/dl) preoperatively evaluated closest to surgery but not greater than 90 days before surgery. Entering ""NS"" for ""No Study"" is allowed."
461.1,"ldl, date (cardiac)",202;25,FREE TEXT,,,"CICSP Definition (2004): Indicate the date that the preoperative LDL value was assessed. Enter ""NS"" for No Study if the LDL test was not performed or was performed more than 90 days before surgery."
462,total cholesterol (cardiac),201;26,FREE TEXT,,,"CICSP Definition (2004): Indicate the Total Cholesterol result (mg/dl) preoperatively evaluated closest to surgery but not greater than 90 days before surgery. Entering ""NS"" for ""No Study"" is allowed."
462.1,"total cholesterol, date",202;26,FREE TEXT,,,"CICSP Definition (2004): Indicate the date that the preoperative Total Cholesterol value was assessed. Entering ""NS"" for ""No Study"" is allowed. Enter ""NS"" for No Study if the Cholesterol test was not performed or was performed more than 90 days before surgery."
463,hypertension,206;38,BOOLEAN,,,"CICSP Definition (2004): Indicate if the patient has a documented history of hypertension with or without current treatment of antihypertensive medication(s). If a diuretic agent is prescribed to treat hypertension, indicate Yes for both the hypertension and the diuretic questions. (YES/NO)."
464,number with radial artery,207;24,NUMERIC,,,"This is the number of coronary artery bypass graft (CABG) anastomoses to native coronary arteries with radial artery(ies) regardless of whether other procedures were performed. Do not leave blank, enter ""zero"" in the appropriate place if no coronary artery bypass grafts were performed with radial artery. Note that any CABG distal anastomoses performed without placing the patient on cardiopulmonary bypass are to be recorded."
465,number with other artery,207;25,NUMERIC,,,"This is the number of coronary artery bypass graft (CABG) anastomoses to native coronary arteries with other artery(ies) regardless of whether other procedures were performed. Do not leave blank, enter ""zero"" in the appropriate place if no coronary artery bypass grafts were performed with other artery(ies). Note that any CABG distal anastomoses performed without placing the patient on cardiopulmonary bypass are to be recorded."
466,tracheostomy,206;39,BOOLEAN,,,CICSP Definition (2004): Indicate if a procedure to cut into the trachea and insert a tube to overcome tracheal obstruction or to facilitate extended mechanical ventilation was performed within 30 days of surgery.
467,new mechanical circulatory,206;40,BOOLEAN,,,"CICSP Definition (2004): Indicate if the patient left the operating room suite with or required post-op placement of a new IABP, ECMO, or VAD for circulatory support within 30 days perioperatively. A ""yes"" response is appropriate even if the pump is only used for a short time perioperatively. A ""yes"" response, however, is only correct if the patient did not enter the operating room with this same mechanical circulatory support, and the device insertion occurred AFTER the induction of anesthesia. If patient had/required new mechanical circulatory support, indicate whether the placement occurred intraoperatively or postoperatively. Indicate the one appropriate response: - intraoperatively: occurring while patient was in the operating room. - postoperatively: occurring after patient left the operating room. A ""no"" response is appropriate if the circulatory support device was placed as a prophylaxis before the induction of anesthesia; however, if it was placed for any reason after the induction of anesthesia, then a ""yes"" response is appropriate. A ""no"" response is also appropriate if the primary operation is to insert a ventricular assist device."
468,incision type,207;26,SET OF CODES,,,"This describes the incision used for cardiac access, according to the operative report. (Do not include incisions for port access.) Enter NS if incision type is unknown. - Limited Sternotomy: The incision cuts through a small portion (less than half of the length) of the sternum (the narrow, flat bone in the median line of the thorax in the front of the chest). - Full Sternotomy: The incision cuts through the entire length of the sternum (the narrow, flat bone in the median line of the thorax in the front of the chest). - Limited Thoracotomy: A small surgical incision through a portion of the chest wall, but not along the sternum. For example, an anterolateral thoracotomy approach may be used in LIMA to LAD grafting. - Full Thoracotomy: A larger surgical incision running across the chest wall, but not along the sternum. This may be a left submammary incision, which requires the resection of the fourth costal cartilage and /or deflation of the left lung. - Limited Parasternal Approach: The incision cuts beside a small portion (less than 0.5 of the length) of the sternum, on a line midway between the sternal margin and an imaginary line passing through the nipple. - Other Limited Surgical Approach: An incision or incision set used to visualize the operating field that is not listed above."
469,convert from off pump to cpb,207;27,SET OF CODES,,,"CICSP Definition (2004): Indicate whether patient was converted from off cardiopulmonary bypass assistance to on cardiopulmonary bypass during the cardiac surgical procedure. Indicate the one appropriate response: No - There was no conversion that occurred for the off-pump case performed (i.e., the off-pump case remained off-pump throughout the operation). N/A - The procedure was NOT an off-pump case (i.e., procedure began on-pump and remained on- pump throughout the case). [The default will be set to N/A.] Yes, planned - The procedure was begun as an off-pump procedure but changed to on-pump for any length of time; the change was planned due to decision made prior to operation to perform some vessels off-pump and some on-pump in order to minimize total CPB time. Yes, unplanned - The procedure was begun as an off-pump procedure but changed to on-pump for any length of time; the change was unplanned and determined in the operating room due to inability to safely perform revascularization. NS/Unknown - If documentation is not sufficient to answer, entering ""NS"" for ""No Study/Unknown"" is also allowed."
470,d/t patient extubated,208;22,FREE TEXT,,,"CICSP Definition (2004): Indicate the date that the endotracheal tube is pulled for the first time after surgery. If a tracheostomy is performed to replace an oral intubation tube, intubation is considered continuous so the patient has not been extubated. If the patient dies while intubated, indicate the date of death for this data element. Indicate ""extubated prior to leaving the OR"" in the Resource Comment if patient is extubated prior to leaving the OR. RI - The patient remains intubated at 30 days after surgery."
471,d/t patient disch from icu,208;23,FREE TEXT,,,"CICSP Definition (2004): This is the first date and time of the discharge from the intensive care unit (ICU). ICU is usually a surgical unit (SICU), although it may also include a post-anesthesia recovery unit off the operating room. It may also be a general ICU in which medical patients are also managed (MICU, CCU). This will always be the unit into which the patient goes immediately after surgery and is stabilized, ventilated and ultimately extubated. Do not include lower acuity units where the patient goes subsequently (i.e. stepdown, transitional care, telemetry, etc.). Do not include subsequent readmissions to the ICU."
472,cardiac surg performed non-va,206;41,SET OF CODES,,,"CICSP Definition (2004): Indicate whether the patient's cardiac surgery was performed in a non-VA facility through a contracted arrangement, even if part of the post-surgical care is provided at the VA. A ""contract"" facility is one established to be an affiliate with the VA medical center, and it is most typically a University Hospital. In rare cases a ""contract"" facility may be a community hospital when there is no University affiliate for the VAMC. By contrast, a ""fee-basis"" patient surgery should not be indicated as a ""contract"" facility. Typically, a ""fee-basis"" establishment is an agreement by the VA Chief of Staff to out-source a patient to a community hospital. That hospital then bills the Chief of Staff for care rendered on the patient. CICSP does not wish to capture the patient data on the ""fee-basis"" patients. If the patient is not entered into VISTA, send a paper form to Denver for hand-entry, unless your facility contracts-out a majority of its cases. Enter ""NS"" if funding for the procedure is not known. The default is to NO if a response is not entered."
473,homeless,209;1,SET OF CODES,,,"CICSP Definition (2004): If the patient indicates he/she does not have a fixed dwelling, indicate the person's status as homeless."
474,preop circulatory device,209;2,SET OF CODES,,,"CICSP Definition (2004): Indicate whether there was any use of any device to assist ventricular function within the two weeks prior to surgery. Indicate the one appropriate response: None - No New Mechanical Circulatory Device was used within 2 weeks prior to surgery. IABP - An intra-aortic balloon pump was used to assist ventricular function. VAD - A ventricular assist device (e.g., LVAD, BIVAD) was used to assist ventricular function. Other - An other type of Mechanical Circulatory Device was used within 2 weeks prior to surgery."
475,diabetes (cardiac),209;3,SET OF CODES,,,"Indicate if the patient has diabetes treated with either oral and/or insulin therapy. Diabetes is defined as a metabolic disorder of the pancreas whereby the individual requires daily dosages of exogenous parenteral insulin or an oral hypoglycemic agent to prevent a hyperglycemic/metabolic acidosis. If the patient is on both Oral and Insulin therapy, indicate Insulin therapy. Select the one most appropriate response. No - no diagnosis of diabetes. Diet - a diagnosis of diabetes that is controlled by diet alone in the two weeks preceding surgery (the only prescribed treatment has been diabetic relief). Oral - a diagnosis of diabetes requiring therapy with an oral hypoglycemic agent in the two weeks preceding surgery. Insulin - a diagnosis of diabetes requiring daily insulin therapy in the two weeks preceding surgery."
476,procedure type,209;4,SET OF CODES,,,"CICSP Definition (2004): Indicate which test was used for the cardiac catheterization and/or angiographic data. Indicate the one most appropriate response: Cath - A diagnostic procedure in which a catheter is introduced into a large vein, usually of an arm or leg, and threaded through the circulatory system to the heart to determine blood pressure and the rate of flow in the vessels and chambers of the heart and the identification of abnormal anatomy. IVUS - Intravascular Ultrasound may be used either alone or in combination with results from the cardiac catheterization. If used alone, indicate IVUS as the only test from which procedure results are calculated. Both - If both IVUS and Cath are available and both tests were analyzed for the results, indicate Both/Combination. NS - If no cath study is available, entering NS for ""No Study/Unknown"" is also allowed."
477,aortic stenosis,209;5,SET OF CODES,,,"CICSP Definition (2004): Indicate the severity of any aortic stenosis documented. This question should be answered using either the left ventricular angiogram (hemodynamic cath data) or the cardiac ultrasound examination. Numbers may be converted to describe the severity of the mitral regurgitation on the cardiac cath report to the adjectives describing the severity: 1+ = mild, 2 or 3+ = moderate, and 4+ = severe. Both transvalvular gradient and estimated valve orifice area are used to assess the severity of obstruction (stenosis) of a valve. The transvalvular pressure gradient is obtained by converting the velocity of blood flow across the valve measured by the Doppler principle to pressure drop using the Bernoulli equation. The pressure drop, which is dependent on flow, can be converted to estimated valve orifice area if flow is known. If the echo report uses an adjective to describe the severity of stenosis, indicate the corresponding adjective. Use the following to convert mean (not peak) transvalvular gradients, orifice areas, or both, to the descriptive categories. Indicate the one most appropriate response: None/Trivial - The mean pressure gradient is < 5 mm Hg, and/or orifice area is > 2.5 cm2, and/or the aortic valve leaflets or aortic flow velocity is stated to be normal (< 1.0 M/sec). Mild - The mean pressure gradient is 5 - 20 mm Hg and/or the orifice area is 1.7 - 2.5 cm2 Moderate - The mean pressure gradient is >20 - 50 mm Hg and/or the valve orifice area is 1.0 -1.5 cm2 Severe - The mean pressure gradient is > 50 mm Hg and/or the valve orifice area is < 1.0 cm2 No Study - If no study was performed, entering ""NS"" for ""No Study/Unknown"" is also allowed."
478,re-do lad stenosis,209;6,FREE TEXT,,,"CICSP Definition (2004): If a re-do, indicate the most severe percent stenosis in the graft to the left anterior descending coronary artery. Entering ""NS"" for ""No Study/Unknown"" is also allowed."
479,re-do rt coronary stenosis,209;7,FREE TEXT,,,"CICSP Definition (2004): If a re-do, indicate the most severe percent stenosis in the graft to the right coronary artery or posterior descending coronary artery. Entering ""NS"" for ""No Study/Unknown"" is also allowed."
480,re-do circumflex stenosis,209;8,FREE TEXT,,,"CICSP Definition (2004): If a re-do, indicate the most severe percent stenosis in the graft to the circumflex coronary artery, including marginal branches and ramus intermedius considered to be of adequate size for bypass grafting. Entering ""NS"" for ""No Study/Unknown"" is also allowed."
481,bridge to transplant/device,209;9,BOOLEAN,,,"CICSP Definition (2004): Indicate if patient received a mechanical support device (excluding IABP) as a bridge to cardiac transplant either during the same admission as the transplant procedure or during a prior admission; or patient received the device as destination therapy (does not intend to have a cardiac transplant), either with or without placing the patient on cardiopulmonary bypass."
482,maze procedure,209;10,BOOLEAN,,,CICSP Definition (2004): Indicate if patient had a Maze procedure either with or without placing the patient on cardiopulmonary bypass. A Maze procedure is a surgical intervention used to interrupt atrial conduction pathways often associated with atrial fibrillation or atrial flutter. It may be performed alone or in combination with other cardiac procedures. (YES/NO).
483,tmr,209;11,BOOLEAN,,,"CICSP Definition (2004): Indicate if patient received a transmyocardial laser procedure (TMR) to make ""channels"" or small holes directly into the heart muscle, either with or without placing the patient on cardiopulmonary bypass. The TMR may be done in combination with a CABG procedure or as a stand-alone procedure."
484,other ct procedure,209.1;1,FREE TEXT,,,"CICSP Definition (2004): If any other cardiothoracic surgical procedure performed at the same time as the index procedure, either with or without placing the patient on cardiopulmonary bypass, specify details into the comment field (limit 60 characters). If no other CT procedure performed, indicate NS for No Study/Unknown in the text field."
485,prior heart surgeries,206;42,FREE TEXT,,,"CICSP Definition (2004): Indicate all applicable types of heart surgery performed, occurring during a separate hospitalization (more than 30 days prior to current surgery), either on or off-pump. Indicate all appropriate responses: None - Patient has not had a previous cardiac surgery procedure CABG-only - Patient has had a previous coronary artery bypass graft (CABG-only) procedure Valve-only - Patient has had a previous valve-only procedure CABG/valve - Patient has had a previous combination CABG/valve procedure Other - Patient has had a previous cardiac procedure(s) not indicated in this list CABG/other - Patient has had a previous combination CABG/other procedure(s) not indicated in this list"
486,gastrointestinal (y/n),200.1;1,SET OF CODES,,,This determines whether the patient has a history of gastrointestinal problems such as esophageal varices.
487,preoperative inr,201;27,FREE TEXT,,,"This is the result of the preoperative INR (International Normalized Ratio). Data input must be 1 to 5 numeric characters in length which may include a prefix of a less than or greater than sign ""<"" or "">"". Entering ""NS"" for ""No Study"" is also allowed."
487.1,"preoperative inr, date",202;27,DATE-TIME,,,This is the date that the preoperative INR was performed.
